nome_regione,Rt,data
Lazio,0.97,2021-02-14
Liguria,1.06,2021-02-14
Lombardia,1.01,2021-02-14
Marche,0.96,2021-02-14
Molise,1.26,2021-02-14
Piemonte,0.98,2021-02-14
Puglia,1.02,2021-02-14
Sardegna,0.78,2021-02-14
Sicilia,0.72,2021-02-14
Toscana,1.2,2021-02-14
Umbria,1.19,2021-02-14
Valle d'Aosta,0.9,2021-02-14
Basilicata,1.37,2021-02-21
Calabria,0.89,2021-02-21
Campania,1.09,2021-02-21
Emilia-Romagna,1.12,2021-02-21
Friuli Venezia Giulia,0.85,2021-02-21
Lazio,0.95,2021-02-21
Liguria,1.01,2021-02-21
Lombardia,0.84,2021-02-21
Marche,1.03,2021-02-21
Molise,1.39,2021-02-21
Piemonte,1.03,2021-02-21
Puglia,0.95,2021-02-21
Sardegna,0.7,2021-02-21
Sicilia,0.73,2021-02-21
Toscana,1.2,2021-02-21
Umbria,1.05,2021-02-21
Valle d'Aosta,1.02,2021-02-21
Basilicata,1.38,2021-02-28
Calabria,0.88,2021-02-28
Campania,1.14,2021-02-28
Emilia-Romagna,1.18,2021-02-28
Friuli Venezia Giulia,0.97,2021-02-28
Lazio,1.05,2021-02-28
Liguria,1.03,2021-02-28
Lombardia,1.09,2021-02-28
Marche,1.09,2021-02-28
Molise,1.43,2021-02-28
Piemonte,1.18,2021-02-28
Puglia,1.0,2021-02-28
Sardegna,0.73,2021-02-28
Sicilia,0.81,2021-02-28
Toscana,1.21,2021-02-28
Umbria,0.89,2021-02-28
Valle d'Aosta,1.21,2021-02-28
Basilicata,1.39,2021-03-07
Calabria,0.91,2021-03-07
Campania,1.3,2021-03-07
Emilia-Romagna,1.26,2021-03-07
Friuli Venezia Giulia,1.25,2021-03-07
Lazio,1.18,2021-03-07
Liguria,1.08,2021-03-07
Lombardia,1.23,2021-03-07
Marche,1.1,2021-03-07
Molise,1.17,2021-03-07
Piemonte,1.31,2021-03-07
Puglia,1.14,2021-03-07
Sardegna,0.86,2021-03-07
Sicilia,0.97,2021-03-07
Toscana,1.19,2021-03-07
Umbria,0.82,2021-03-07
